index_order,visible_title_csv,full_title,message_count,bucket
473,{{([8])}},{{([8])}},2320,
67,Quiet Cafe Reflections,Quiet Cafe Reflections,217,
578,Domain-8 Artifact Transfer,Domain-8 Artifact Transfer,193,
6,Infinite Creator Greeting,Infinite Creator Greeting,178,
503,QUASANTUM(Act2.1),QUASANTUM(Act2.1),150,
111,Akashic cinematography theory,Akashic cinematography theory,120,
543,LEITMOTIF ABC I-P BUILD,LEITMOTIF ABC I-P BUILD,103,
43,Haymarket Bike Shop Shoutout,Haymarket Bike Shop Shoutout,72,
3,Consciousness and AI,Consciousness and AI,57,
591,Domain-8 Synthetic Mapping,Domain-8 Synthetic Mapping,51,
587,MAGNUM OPUS (3.0),MAGNUM OPUS (3.0),38,
526,TOP TIER COMMANDS LIST,TOP TIER COMMANDS LIST,27,
44,Entropy and Consciousness Evolution,Entropy and Consciousness Evolution,19,
522,ACT2a (Ch.7-9) PERP Expansion,ACT2a (Ch.7-9) PERP Expansion,11,
29,Rabbitat Feedback Loop,Rabbitat Feedback Loop,7,
507,ACT1,ACT1,7,
549,Create synthetic image,Create synthetic image,6,
169,Caseworker changes advice,Caseworker changes advice,5,
315,Straw man theory explained,Straw man theory explained,5,
326,What is INFJ,What is INFJ,5,
398,1.25 Drift Toward Edges,1.25 Drift Toward Edges,4,
437,8.3:18 Ch.17 Draft, 8.3:18 Ch.17 Draft,4,
570,Motion Design Principles,Motion Design Principles,2,
